alg	size	speed	stdev
ucsc	10K	72116.72727	1869.565837
ucsc	100K	215013.8182	24687.82481
ucsc	1M	1739151.182	60069.81372
ucsc	10M	16486336.18	1797524.895
bedtools	10K	4787234	506873.5795
bedtools	100K	5239500.545	566773.6277
bedtools	1M	8738618.818	946648.1311
bedtools	10M	41218479.45	4517246.122
BITS_count	10K	190825.6364	10696.63302
BITS_count	100K	245791	6896.970639
BITS_count	1M	668225.6364	9339.232263
BITS_count	10M	5480943.727	319313.8571
BITS_count_per_interval	10K	522568.8182	32692.39502
BITS_count_per_interval	100K	578570.2727	30262.43196
BITS_count_per_interval	1M	974097.5455	108754.1735
BITS_count_per_interval	10M	5678296	44054.48323
BITS_enumerate	10K	281338.0909	12112.40943
BITS_enumerate	100K	475265.8182	11850.47549
BITS_enumerate	1M	2060094.636	228950.4857
BITS_enumerate	10M	19215403.27	2182875.442
