alg	size	speed	stdev
ucsc	10K	57619.09091	6879.928684
ucsc	100K	95145.63636	10650.29446
ucsc	1M	487675.0909	56602.36299
ucsc	10M	4423965.545	492532.7415
bedtools	10K	4801066.273	525847.9232
bedtools	100K	5219476.545	549996.3628
bedtools	1M	7707147.273	840886.4148
bedtools	10M	30094875.73	3322967.923
BITS_count	10K	184655.9091	20077.71324
BITS_count	100K	239902.9091	26086.74592
BITS_count	1M	638553.8182	72387.12759
BITS_count	10M	4938705.273	612608.1878
BITS_count_per_interval	10K	501463.2727	56229.52083
BITS_count_per_interval	100K	556586.0909	57800.96723
BITS_count_per_interval	1M	952009.1818	104687.8799
BITS_count_per_interval	10M	5242186.455	452417.9586
BITS_enumerate	10K	265217.5455	28465.35984
BITS_enumerate	100K	383513.3636	41760.12834
BITS_enumerate	1M	1286963.818	140021.4462
BITS_enumerate	10M	11493882.27	1347837.569
