alg	size	speed	stdev
ucsc	10K	5633.636364	496.7845152
ucsc	100K	57237.36364	7452.526528
ucsc	1M	1062953.091	117281.0186
ucsc	10M	63821426.82	6885309.413
bedtools	10K	181793	25830.00635
bedtools	100K	1558735.818	172427.1875
bedtools	1M	16042058.18	1732766.512
bedtools	10M	215543550.2	23106985.21
BITS_count	10K	9815.363636	1626.990183
BITS_count	100K	89440.72727	9755.990335
BITS_count	1M	971357.1818	107281.2541
BITS_count	10M	10970641.18	1240465.654
BITS_count_per_interval	10K	20122.72727	3176.479941
BITS_count_per_interval	100K	169184.8182	18730.38141
BITS_count_per_interval	1M	1760518.455	193291.8558
BITS_count_per_interval	10M	18863189.82	2083335.49
BITS_enumerate	10K	17425.27273	2697.947186
BITS_enumerate	100K	157910.5455	17429.07762
BITS_enumerate	1M	2010076.455	217149.0121
BITS_enumerate	10M	41675407.36	4709484.16
